Timestamp,Clock,Data,DST,Latch,Motor1,Motor2
0.0302,1,0,0,1,0,1
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,1,0,1,0,0
0.0302,0,1,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,1,0,1,0,0
0.0302,0,1,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
0.0302,1,0,0,1,0,0
0.0302,0,0,0,1,0,0
